"atleta_id","rodada_id","clube_id","posicao_id","status_id","pontos_num","preco_num","variacao_num","media_num","jogos_num","FS","PE","A","FT","FD","FF","G","I","PP","RB","FC","GC","CA","CV","SG","DD","DP","GS"
63177,10,373,5,6,0.0,3.85,0.0,0.53,7,4,7,0,0,4,4,0,4,0,0,2,0,0,0,0,0,0,0
63219,10,282,5,6,0.7,6.32,-0.14,1.27,3,2,2,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0
68698,10,263,4,7,2.9,12.98,-0.29,6.6,9,15,29,2,0,3,6,4,0,0,17,15,0,5,0,0,0,0,0
68690,10,292,5,7,2.6,8.92,-0.42,4.34,9,12,19,1,0,3,7,4,7,0,7,21,0,2,0,0,0,0,0
68725,10,315,2,7,0.0,5.12,0.0,0.2,2,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
68693,10,265,2,6,0.0,2.03,0.0,-1.15,2,0,7,0,0,2,1,0,1,0,3,5,0,0,1,0,0,0,0
68749,10,373,4,6,0.0,2.14,0.0,-0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
63422,10,276,4,7,12.4,15.44,1.86,5.51,10,26,30,0,0,1,4,1,0,0,29,20,0,0,0,0,0,0,0
50421,10,276,4,6,0.0,4.1,0.0,1.2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
68745,10,277,4,6,0.0,1.69,0.0,-1.3,1,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
68758,10,284,5,7,1.4,10.2,-1.67,6.38,6,14,6,0,0,3,2,3,0,0,6,7,0,1,0,0,0,0,0
68744,10,303,5,3,-1.6,4.53,-0.91,1.67,6,20,17,1,0,1,4,0,0,0,4,9,0,3,0,0,0,0,0
68770,10,264,4,6,-0.3,3.94,-0.54,0.58,6,0,6,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0
68784,10,314,5,6,3.5,6.15,-0.27,2.55,4,7,12,0,2,1,3,0,0,0,1,3,0,0,0,0,0,0,0
68808,10,303,2,7,-0.2,20.16,-1.93,5.68,9,21,48,1,0,4,2,1,1,0,21,15,0,3,0,3,0,0,0
